window_id,mae_naive,mae_xgb,cutoff_end_date
2005-01-24__2007-01-15,0.044499999999999984,0.06772769737243645,2007-01-15
2013-04-08__2015-03-30,0.1047499999999999,0.06714494371414181,2015-03-30
2017-04-03__2019-03-25,0.20799999999999996,0.0659652557373046,2019-03-25
2022-01-31__2024-01-22,0.14725,0.06592714357376084,2024-01-22
2022-05-23__2024-05-13,0.12024999999999986,0.06516392993927,2024-05-13
2018-01-08__2019-12-30,0.05224999999999991,0.0651530270576477,2019-12-30
2013-01-14__2015-01-05,0.1279999999999999,0.06479552745819084,2015-01-05
2011-01-17__2013-01-07,0.15049999999999986,0.06383273458480843,2013-01-07
2005-10-03__2007-09-24,0.039999999999999925,0.06349319887161275,2007-09-24
2009-11-23__2011-11-14,0.15650000000000008,0.0628051390647889,2011-11-14
2019-07-22__2021-07-12,0.03025000000000011,0.06224535799026498,2021-07-12
2005-07-11__2007-07-02,0.07074999999999998,0.062189811229705794,2007-07-02
2017-07-24__2019-07-15,0.11899999999999988,0.0621451768875122,2019-07-15
2004-10-04__2006-09-25,0.1532499999999999,0.06208489465713507,2006-09-25
2012-09-24__2014-09-15,0.15674999999999983,0.06166617393493645,2014-09-15
2002-07-15__2004-07-05,0.017250000000000043,0.06148932719230654,2004-07-05
2017-09-18__2019-09-09,0.09875000000000012,0.060739555358886754,2019-09-09
2016-05-02__2018-04-23,0.07274999999999987,0.06073551702499391,2018-04-23
2011-02-14__2013-02-04,0.21299999999999986,0.06038103294372554,2013-02-04
2017-03-06__2019-02-25,0.19024999999999992,0.06034183979034424,2019-02-25
2020-02-03__2022-01-24,0.19000000000000017,0.05946612215042113,2022-01-24
2008-05-12__2010-05-03,0.11900000000000022,0.05919591093063359,2010-05-03
2019-02-04__2021-01-25,0.1842499999999998,0.05887575721740723,2021-01-25
2008-02-18__2010-02-08,0.07050000000000012,0.05863394975662217,2010-02-08
2003-02-24__2005-02-14,0.12299999999999994,0.05846511268615723,2005-02-14
2015-04-06__2017-03-27,0.11224999999999996,0.058249947071075336,2017-03-27
1999-06-21__2001-06-11,0.17649999999999993,0.05782020187377929,2001-06-11
2006-08-07__2008-07-28,0.22774999999999979,0.05772626972198491,2008-07-28
2016-10-17__2018-10-08,0.12550000000000006,0.05734956645965583,2018-10-08
1998-07-20__2000-07-10,0.11274999999999985,0.05687970066070552,2000-07-10
2009-06-08__2011-05-30,0.16299999999999992,0.056584956645965634,2011-05-30
2023-03-27__2025-03-17,0.12124999999999975,0.056462161540985156,2025-03-17
2003-06-16__2005-06-06,0.11550000000000027,0.05642120790481586,2005-06-06
2004-04-19__2006-04-10,0.2412500000000002,0.056175910949706975,2006-04-10
2023-12-04__2025-11-24,0.18899999999999995,0.056134926319122314,2025-11-24
2012-08-27__2014-08-18,0.05225000000000002,0.056051489830017176,2014-08-18
2009-12-21__2011-12-12,0.060249999999999915,0.05575638818740836,2011-12-12
2011-10-24__2013-10-14,0.10825000000000018,0.055473312854766865,2013-10-14
1998-05-25__2000-05-15,0.10725000000000007,0.055183536529540944,2000-05-15
2020-10-12__2022-10-03,0.03874999999999995,0.05513788461685187,2022-10-03
2014-04-07__2016-03-28,0.08600000000000008,0.054947977066040155,2016-03-28
2019-10-14__2021-10-04,0.1852499999999998,0.054677416324615424,2021-10-04
2022-11-07__2024-10-28,0.0535000000000001,0.05458548879623404,2024-10-28
2003-05-19__2005-05-09,0.0704999999999999,0.05440879869461046,2005-05-09
2004-07-12__2006-07-03,0.0744999999999999,0.05351114606857299,2006-07-03
2009-07-06__2011-06-27,0.10675000000000023,0.0534989299774169,2011-06-27
2020-03-30__2022-03-21,0.13024999999999998,0.053456162452697686,2022-03-21
2008-03-17__2010-03-08,0.07275000000000009,0.05340731906890861,2010-03-08
2003-12-29__2005-12-19,0.0950000000000002,0.05328712463378915,2005-12-19
2004-02-23__2006-02-13,0.09225000000000005,0.0525752520561219,2006-02-13
2016-03-07__2018-02-26,0.07750000000000012,0.05242091989517217,2018-02-26
1998-02-02__2000-01-24,0.060749999999999915,0.05162258958816529,2000-01-24
2010-01-18__2012-01-09,0.07800000000000018,0.05136922025680546,2012-01-09
2008-12-22__2010-12-13,0.09749999999999981,0.050948090553283865,2010-12-13
2007-03-19__2009-03-09,0.08324999999999982,0.05089463114738446,2009-03-09
2009-08-31__2011-08-22,0.06374999999999997,0.0506821255683898,2011-08-22
2005-12-26__2007-12-17,0.06300000000000017,0.0506235008239746,2007-12-17
2011-11-21__2013-11-11,0.07500000000000007,0.050053286075591785,2013-11-11
2008-04-14__2010-04-05,0.05300000000000027,0.049988977909088184,2010-04-05
2012-05-07__2014-04-28,0.03699999999999981,0.04997415637969971,2014-04-28
2016-05-30__2018-05-21,0.039000000000000035,0.0497724618911739,2018-05-21
2010-03-15__2012-03-05,0.12324999999999975,0.04975660181045527,2012-03-05
2008-08-04__2010-07-26,0.03600000000000003,0.04961024332046493,2010-07-26
2002-02-25__2004-02-16,0.08250000000000002,0.04954805135726925,2004-02-16
2008-09-29__2010-09-20,0.07800000000000007,0.04954804706573479,2010-09-20
2010-10-25__2012-10-15,0.3320000000000002,0.04911860895156872,2012-10-15
2012-06-04__2014-05-26,0.01674999999999993,0.04892747163772582,2014-05-26
2021-09-13__2023-09-04,0.05750000000000022,0.048682321071624735,2023-09-04
2011-08-29__2013-08-19,0.03749999999999987,0.04790005302429179,2013-08-19
1998-12-07__2000-11-27,0.08624999999999994,0.04762359237670899,2000-11-27
2005-08-08__2007-07-30,0.10375000000000023,0.0467712097167966,2007-07-30
2021-01-04__2022-12-26,0.27075000000000016,0.04619223785400406,2022-12-26
2002-10-07__2004-09-27,0.10649999999999993,0.04587177324295022,2004-09-27
2013-05-06__2015-04-27,0.17474999999999985,0.04586787176132201,2015-04-27
2011-06-06__2013-05-27,0.055499999999999994,0.045488205909728796,2013-05-27
2014-11-17__2016-11-07,0.04475000000000007,0.04537283325195318,2016-11-07
2009-04-13__2011-04-04,0.22799999999999987,0.04506751537322995,2011-04-04
2007-11-26__2009-11-16,0.0182500000000001,0.0450508852005006,2009-11-16
1999-04-26__2001-04-16,0.10899999999999993,0.04480950856208804,2001-04-16
2018-05-28__2020-05-18,0.17800000000000005,0.04445098352432264,2020-05-18
2018-04-30__2020-04-20,0.06400000000000006,0.04400059390068056,2020-04-20
1997-03-03__1999-02-22,0.09025000000000002,0.04377439486980436,1999-02-22
2012-04-09__2014-03-31,0.1070000000000002,0.0436261134147643,2014-03-31
