window_id,train_start,train_end,test_start,test_end,model,mae,rmse,smape,bias
1997-04-28__1999-04-19,1997-04-28,1999-04-19,1999-04-26,1999-05-17,XGBoost (direct multi-horizon),0.13438024568557733,0.13447779386598796,12.123780891749494,-0.13438024568557733
1997-05-26__1999-05-17,1997-05-26,1999-05-17,1999-05-24,1999-06-14,Naive (recursive),0.026499999999999968,0.027101660465735283,2.2724616557405133,0.026499999999999968
1997-05-26__1999-05-17,1997-05-26,1999-05-17,1999-05-24,1999-06-14,XGBoost (direct multi-horizon),0.019492010593414322,0.025119186535983537,1.7137066583759935,-0.013138452529907196
1997-06-23__1999-06-14,1997-06-23,1999-06-14,1999-06-21,1999-07-12,Naive (recursive),0.02900000000000008,0.03560196623783585,2.47909491026998,-0.02900000000000008
1997-06-23__1999-06-14,1997-06-23,1999-06-14,1999-06-21,1999-07-12,XGBoost (direct multi-horizon),0.016558957576751687,0.022140119600608788,1.403271191055967,-0.012994243621826163
1997-07-21__1999-07-12,1997-07-21,1999-07-12,1999-07-19,1999-08-09,Naive (recursive),0.06475000000000003,0.06698693902545483,5.3222935171540975,-0.06475000000000003
1997-07-21__1999-07-12,1997-07-21,1999-07-12,1999-07-19,1999-08-09,XGBoost (direct multi-horizon),0.07416570472717282,0.0785217150723835,6.125085149848459,-0.07416570472717282
1997-08-18__1999-08-09,1997-08-18,1999-08-09,1999-08-16,1999-09-06,Naive (recursive),0.033499999999999974,0.03424178733652785,2.6513871131728832,-0.033499999999999974
1997-08-18__1999-08-09,1997-08-18,1999-08-09,1999-08-16,1999-09-06,XGBoost (direct multi-horizon),0.10089351963996884,0.10110735850984287,8.208034878904538,-0.10089351963996884
1997-09-15__1999-09-06,1997-09-15,1999-09-06,1999-09-13,1999-10-04,Naive (recursive),0.016749999999999987,0.017923448328934898,1.296858112368704,-0.016749999999999987
1997-09-15__1999-09-06,1997-09-15,1999-09-06,1999-09-13,1999-10-04,XGBoost (direct multi-horizon),0.09915565133094789,0.09919829996475187,7.938949963315792,-0.09915565133094789
1997-10-13__1999-10-04,1997-10-13,1999-10-04,1999-10-11,1999-11-01,Naive (recursive),0.021250000000000102,0.02139509289533477,1.65340293244203,0.021250000000000102
1997-10-13__1999-10-04,1997-10-13,1999-10-04,1999-10-11,1999-11-01,XGBoost (direct multi-horizon),0.013706928253173767,0.014295183960587121,1.081372000365492,-0.013706928253173767
1997-11-10__1999-11-01,1997-11-10,1999-11-01,1999-11-08,1999-11-29,Naive (recursive),0.03625000000000006,0.037366428783066806,2.8095384931729734,-0.03625000000000006
1997-11-10__1999-11-01,1997-11-10,1999-11-01,1999-11-08,1999-11-29,XGBoost (direct multi-horizon),0.016186542272567717,0.019144822101666334,1.2451601488233743,-0.016186542272567717
1997-12-08__1999-11-29,1997-12-08,1999-11-29,1999-12-06,1999-12-27,Naive (recursive),0.0022499999999999187,0.0029580398915497264,0.17135608637759,0.0022499999999999187
